010001,0007,NY/Bronx Co Line,RT 87I MAJ DEGAN EXPY UNDER,,50
010002,0051,RT 87I MAJ DEGAN EXPY UNDER,MACOMBS RD OVER,,50
010003,0063,MACOMBS RD OVER,END 1/95I OLAP WEBSTER AVE,,50
010004,0150,END 1/95I OLAP WEBSTER AVE,E FORDHAM RD,WEBSTER AVE,50
010005,0112,E FORDHAM RD,RT 907H BRONX RIVER PKWY SOU,E FORDHAM RD,30
010006,0018,RT 907H BRONX RIVER PKWY SOU,PELHAM PKWY BOSTON POST RD R,E FORDHAM RD,30
010007,0143,PELHAM PKWY BOSTON POST RD R,GUN HILL RD,BOSTON RD,30
010008,0164,GUN HILL RD,RT 22 PROVOST AVE,BOSTON RD,30
010009,0054,RT 22 PROVOST AVE,Bronx/West Co Line,BOSTON RD,30
010010,0082,NY/Bronx Co Line,VAN CORTLAND SOUTH,BROADWAY,30
010011,0096,VAN CORTLAND SOUTH,START 9/9A OLAP H.H. PKY,BROADWAY,30
010012,0080,START 9/9A OLAP H.H. PKY,Bronx/West Co Line,BROADWAY,10
010014,0103,NY/Bronx Co Line,RIVERDALE AVE OVER,HENRY HUDSON PK,50
010015,0177,I-295,ACC I-95,THROGS NECK EXP,55
010016,0130,RIVERDALE AVE OVER,END 9A/907V OLAP & RT 9 OVER,HENRY HUDSON PK,50
010017,0042,I-278 BRUCKNER EXPY,ST ANNIS AVE,Major Deegan Ex,50
010018,0019,RT 1,EAST 233RD ST,PROVOST AVE,30
010019,0017,EAST 233RD ST,Bronx/West Co Line,PROVOST AVE,30
010020,0014,ST ANNIS AVE,ACC WILLIS AVE,Major Deegan Ex,50
010021,0059,ACC WILLIS AVE,ACC GRAND CONCOURSE,Major Deegan Ex,50
010022,0003,ACC GRAND CONCOURSE,ACC EAST 138TH ST,Major Deegan Ex,50
010023,0126,ACC EAST 138TH ST,ACC MACOMBS DAM BRIDGE,Major Deegan Ex,50
010024,0096,ACC MACOMBS DAM BRIDGE,ACC 95I CROSS BRNX EPY,Major Deegan Ex,50
010025,0136,ACC 95I CROSS BRNX EPY,ACC W FORDHAM RD,Major Deegan Ex,50
010026,0116,ACC W FORDHAM RD,ACC WEST 230TH ST,Major Deegan Ex,50
010027,0034,ACC HENRY HUDSON PKWY,ACC EAST 233 ST,Major Deegan Ex,50
010028,0033,ACC VAN CORTLAND PARK,ACC HENRY HUDSON PKWY,Major Deegan Ex,50
010030,0115,ACC EAST 233 ST,Bronx/West Co Line,Major Deegan Ex,50
010031,0065,END 1/95I OLAP WEBSTER AVE,CROTONA AVE OVER,,45
010032,0077,CROTONA AVE OVER,I895 SHERIDAN EXPWY UNDER,,45
010033,0037,I895 SHERIDAN EXPWY UNDER,RT 907H BRONX RIVER PKWY UND,,45
010034,0071,RT 907H BRONX RIVER PKWY UND,WESTCHESTER AVE OVER,,45
010035,0138,WESTCHESTER AVE OVER,I-278 END CONNECTION,,45
010036,0081,I-278 END CONNECTION,I-695 UNDER,,45
010037,0142,I-695 UNDER,START NEW YORK STATE THRUWAY,,50
010038,0033,START NEW YORK STATE THRUWAY,RT 908A  HUTCHINSON RIVER PK,,50
010039,0072,RT 908A  HUTCHINSON RIVER PK,INTER 12 E 222 ST AND BAYCHE,,50
010040,0111,INTER 12 E 222 ST AND BAYCHE,INTER 13 CONNER ST OVER,,50
010041,0059,INTER 13 CONNER ST OVER,RT 908A HUTCHINSON RIVER PKW,,50
010042,0058,RT 908A HUTCHINSON RIVER PKW,Bronx/West Co Line,,50
010043,0025,NY/Bronx Co Line,RT 87I MAJOR DEEGAN EXPWY EX,,40
010044,0187,RT 87I MAJOR DEEGAN EXPWY EX,EXIT 46 RT 895I SHERIDAN EXP,,50
010045,0079,EXIT 46 RT 895I SHERIDAN EXP,BRONX RIVER PKWY NORTH EX,,50
010046,0143,BRONX RIVER PKWY NORTH EX,CASTLE HILL AVE,,50
010047,0073,CASTLE HILL AVE,RT 95I CROSS BRONX EXPWY END,,50
010048,0188,Queens/Bronx Co Line,RAMP/ACC TO RT 695I,CROSS BRONX EXP,40
010049,0211,RAMP/ACC TO RT 695I,ACC RT 95I END RT 295I,CROSS BRONX EXP,50
010050,0042,RT 278I,ACC WESTCHESTER AVE,,50
010051,0093,ACC WESTCHESTER AVE,ACC RT 95I END RT 895I,,50
010052,0110,Queens/Bronx Co Line,ACC RAMP RT 907W HUTCHINSON,,50
010053,0092,ACC RAMP RT 907W HUTCHINSON,ACC RT 95I & 278I END RT 678,,50
010054,0096,ACC WEST 230TH ST,ACC VAN CORTLAND PARK,Major Deegan Ex,50
010055,0012,END 9A/907V OLAP & RT 9 OVER,START 9/9A OLAP,HENRY HUDSON PK,30
010900,0009,RT 907H BRONX RIVER PKWY,WHITE PLAINS RD,BRONX PELHAM PK,30
010901,0030,WHITE PLAINS RD,MULINER AVE,BRONX PELHAM PK,30
010902,0031,MULINER AVE,WILLIAMS BRIDGE RD,BRONX PELHAM PK,30
010903,0035,WILLIAMS BRIDGE RD,WILSON AV,BRONX PELHAM PK,30
010904,0030,WILSON AV,EASTCHESTER RD,BRONX PELHAM PK,30
010905,0029,EASTCHESTER RD,STILLWELL AVE,BRONX PELHAM PK,30
010906,0016,STILLWELL AVE,RT 908A HUTCHINSON RIVER PKW,BRONX PELHAM PK,30
010907,0048,RT 908A HUTCHINSON RIVER PKW,RT 95I BRUCKNER EXPWY OVER,BRONX PELHAM PK,30
010908,0086,JCT METCALF AVE & STORY AVE,RT 95I CROSS BRONX EXPWY OVE,BRONX RIVER PKW,50
010910,0154,RT 95I CROSS BRONX EXPWY OVE,RT 1 E FORHAM RD UNDER,BRONX RIVER PKW,50
010911,0067,RT 1 E FORHAM RD UNDER,RT 908F MOSHOLU PKY UNDER,BRONX RIVER PKW,50
010912,0085,RT 908F MOSHOLU PKY UNDER,E  GUN HILL RD OVER,BRONX RIVER PKW,50
010913,0122,E  GUN HILL RD OVER,E 233RD ST,BRONX RIVER PKW,50
010914,0045,E 233RD ST,NCL NYC/WESTCHESTER CL - NER,BRONX RIVER PKW,50
010917,0052,END 9A/907V OLAP & RT 9 OVER,RT 908F MOSHOLU PKWY OVER,HENRY HUDSON PK,50
010918,0050,RT 908F MOSHOLU PKWY OVER,BRONX/WESTCHESTER CL,HENRY HUDSON PK,50
010920,0193,INT 95I CROSS BRONX EXPWY,INT BRONX PELHAM PWKY,HUTCHINSN RIVER,55
010921,0043,INT BRONX PELHAM PWKY,INT 95I NEW ENGLAND THWY,HUTCHINSN RIVER,55
010922,0099,INT 95I NEW ENGLAND THWY,INT ORCHARD BEACH,HUTCHINSN RIVER,55
010923,0083,INT ORCHARD BEACH,INT 95I NEW ENGLAND THWY,HUTCHINSN RIVER,55
010924,0017,INT 95I NEW ENGLAND THWY,BRONX/WEST CL/NY NCL,HUTCHINSN RIVER,55
010925,0020,INT BRONX PARK EAST,INT BRONX RIVER PKWY,MOSHOLU PKWY,35
010926,0043,INT BRONX RIVER PKWY,INT DR THEO KAZIMIROFF BLVD,MOSHOLU PKWY,35
010927,0075,INT DR THEO KAZIMIROFF BLVD,JCT GRAND BLVD & CONCORSE,MOSHOLU PKWY,35
010929,0085,JCT GRAND BLVD & CONCORSE,INT 87I MAJOR DEEGAN,MOSHOLU PKWY,35
010930,0088,INT 87I MAJOR DEEGAN,INT HENRY HUDSON PWKY,MOSHOLU PKWY,45
011001,0034,BRUCKNER BLVD,PIERHEAD LINE,E 149TH ST,30
011002,0023,CO OP CITY BLV,ROMBOUTS AVE,BAYCHESTR AVE,0
011003,0057,E 233RD ST,PITMAN AVE,BAYCHESTER AVE,25
011004,0026,MORRIS AVE,PARK AVE,E 165TH ST,30
011005,0034,EASTCHESTER RD,STILLWELL AVE,PELHAM PKWY N,35
011006,0027,BRONXWOOD AVE,WILLIMSBRDG RD,PELHAM PKWY N,35
011007,0034,US1 / BOSTON RD,BRONXWOOD AVE,PELHAM PKWY N,35
011008,0023,WEBSTER AVE,BAINBRIDGE,E MSHOLU PKY N,30
011009,0011,ALLERTON AVE,BOSTON RD,WILLIMSBRDG RD,30
011010,0011,E 180TH ST,BRONX PARK S,BOSTON RD,30
011011,0022,ROMBOUTS AVE,CONNER ST,TILLOTSON AVE,30
011101,0016,E 132ND ST,E 135TH ST,ALEXANDER AVE,0
011102,0009,BRUCKNER EXPY,GARRISON AVE,BARRETTO ST,0
011103,0040,GUN HILL RD,BAYCHESTER AVE,BARTOW AVE,25
011104,0029,BAYCHESTER AVE,CO-OP CITY BLVD,BARTOW AVE,25
011105,0040,E 222ND ST,BOSTON RD,BAYCHESTER AVE,25
011106,0052,BOSTON RD,E 233RD ST,BAYCHESTER AVE,25
011107,0037,PITMAN AVE,E 241ST ST,BAYCHESTER AVE,25
011109,0089,THIRD AVE,CROTONA AVE,BOSTON RD,30
011110,0056,CROTONA AVE,SOUTHERN BLVD,BOSTON RD,30
011111,0045,SOUTHERN BLVD,E TREMONT AVE,BOSTON RD,30
011112,0020,BRONX RVR PKWY,,BOSTON RD,25
011114,0039,WHITE PLAINS R,BOSTON RD,BRONX PARK E,25
011115,0010,E TREMONT AVE,SACKET AVE,BRONXDALE AVE,25
011116,0096,SACKET AVE,BRONX PARK E,BRONXDALE AVE,25
011117,0011,TERMINAL ENT,E 134TH ST,BROWN PL,0
011118,0034,THIRD AVE,WILLIS AVE,BRUCKNER BLVD,25
011119,0053,WILLIS AVE,E 135TH ST,BRUCKNER BLVD,25
011120,0080,E 135TH ST,E 149TH ST,BRUCKNER BLVD,25
011121,0037,E 149TH ST,LEGGETT AVE,BRUCKNER BLVD,25
011122,0042,LEGGETT AVE,TIFFANY ST,BRUCKNER BLVD,25
011123,0045,TIFFANY ST,SHERIDAN EXPWY,BRUCKNER BLVD,25
011124,0074,WESTCHESTER AVE,JARVIS AVE,BRUCKNR BLV SW,25
011125,0076,SHERIDAN EXP,BRONX R PKWY,BRUCKNER BLV EN,35
011126,0070,BRONX R PKWY,WHITE PLAINS R,BRUCKNER BLV EN,35
011127,0018,PELHAM PKWY SQ,WESTCHESTER AVE,BURR AVE,0
011128,0047,IN278,WESTCHESTER AV,CASTLE HILL AVE,25
011129,0060,WESTCHESTER AV,E TREMONT AVE,CASTLE HILL AVE,25
011130,0019,PEARTREE AVE,IN95,CONNER ST,25
011131,0018,IN95,BOSTON RD,CONNER ST,25
011132,0080,BARTOW AVE,PEARTREE AVE,CO-OP CITY BLVD,25
011133,0051,PEARTREE AVE,IN95,CO-OP CITY BLVD,25
011134,0075,BOSTON RD,IN95,CROTONA AVE,25
011135,0123,IN95,SOUTHERN BLVD,CROTONA AVE,25
011136,0090,E FORDHAM RD,MOSHOLU PKWY,DR KAZIMIRFF BV,30
011137,0026,WILLIS AVE,LINCOLN AVE,E 135TH ST,25
011138,0008,NY CO LINE,IN87,E 138TH ST,25
011139,0027,IN87,THIRD AVE,E 138TH ST,25
011140,0026,THIRD AVE,WILLIS AVE,E 138TH ST,25
011141,0063,WILLIS AVE,BRUCKNER BLVD,E 138TH ST,25
011142,0022,RIVER AVE,GRD CONCRS/BLV,E 151ST ST,0
011143,0005,SB ENT 87I,RIVER AVE,E 153RD ST,0
011144,0006,87I NB RAMP,E 153RD ST,E 157TH ST,0
011145,0009,JEROME AVE,MACOMBS DMBRG,E 161ST ST,25
011146,0016,MACOMBS DMBRG,RIVER ST,E 161ST ST,25
011147,0020,RIVER ST,GRD CONCOURSE,E 161ST ST,30
011148,0049,GRD CONCOURSE,MELROSE AVE,E 161ST ST,30
011149,0062,WASHINGTON AVE,REV J POLITE,E 163RD ST,25
011150,0047,REV J POLITE,BRUCKNER BLVD,E 163RD ST,25
011151,0088,JEROME AVE,WEBSTER AVE,E 233RD ST,25
011152,0088,WHITE PLAINS RD,BAYCHESTER AVE,E 233RD ST,25
011153,0095,BAYCHESTER AVE,BOSTON RD,E 233RD ST,25
011154,0022,WHITE PLAINS RD,BAYCHESTER AVE,E 241ST ST,25
011155,0021,JEROME AVE,GRD BLV/CNCRS,E FORDHAM RD,25
011156,0016,GRD BLV/CNCRS,E KINGSBRDG RD,E FORDHAM RD,25
011157,0015,E KINGSBRDG RD,WEBSTER AVE,E FORDHAM RD,25
011158,0068,JEROME AVE,BRONX RVR PKY,E GUN HILL RD,25
011159,0092,BRONX RVR PKY,BOSTON RD,E GUN HILL RD,25
011160,0070,BOSTON RD,EASTCHESTER RD,E GUN HILL RD,25
011161,0091,EASTCHESTER RD,IN95,E GUN HILL RD,25
011162,0049,E FORDHAM RD,JEROME AVE,E KINGSBRDG RD,25
011163,0053,JEROME AVE,WEBSTER AVE,E TREMONT AVE,25
011164,0089,WEBSTER AVE,SOUTHERN BLVD,E TREMONT AVE,30
011165,0073,SOUTHERN BLVD,BRONX RVR PKY,E TREMONT AVE,30
011166,0045,BRONX RVR PKY,WHITE PLAINS R,E TREMONT AVE,30
011167,0088,WHITE PLAINS R,SILVER ST,E TREMONT AVE,30
011168,0039,SILVER ST,WESTCHESTER AVE,E TREMONT AVE,30
011169,0028,WILLAMSBRDG RD,SACKET AVE,EASTCHESTER RD,25
011170,0068,SACKET AVE,BRX/PELHM PKY,EASTCHESTER RD,25
011171,0076,BRX/PELHM PKY,E GUN HILL RD,EASTCHESTER RD,25
011172,0065,E GUN HILL RD,BOSTON RD,EASTCHESTER RD,25
011173,0048,BOSTON RD,LACONIA AVE,EASTCHESTER RD,25
011174,0047,HALLECK ST,BRUCKNER BLVD,EDGEWATER RD,25
011175,0057,E 167TH ST,IN95,EDWRD GRNT HWY,25
011177,0051,TIFFANY,EDGEWATER RD,GARRISON AVE,25
011178,0058,E 161ST ST,E 167ND ST,GRAND CONCRSE,25
011179,0103,E TREMONT AVE,E FORDHAM RD,GRAND CONCRSE,25
011180,0029,E FORDHAM RD,E KINGSBRDG RD,GRAND CONCRSE,25
011181,0104,E KINGSBRDG RD,MOSHOLU PKWY,GRAND CONCRSE,25
011183,0104,E 138TH ST,E 161ST ST,GRAND CONCRSE,25
011184,0093,JOHNSON AVE,H HUDSON PKY,H HUDSON PKY E,25
011186,0052,HUNTS POINT A,EDGEWATER RD,HALLECK ST,25
011187,0100,EAST BAY AVE,SOUTHERN AVE,HUNTS PT AVE,25
011188,0048,MCMBS DM BR AP,E 167TH ST,JEROME AVE,25
