520029,42.11921,-79.75924,PENN STATE LINE,START 426/430 OLAP
520046,42.1229,-79.73901,END 426/430 OLAP,RT 86I OVER W/CONN
520093,42.25143,-79.74509,PENN STATE LINE,ACC RT 90I SHORTMAN RD RT 95
520241,42.02581,-79.70755,PENN STATE LINE,START 426/474 OLAP
520304,42.26419,-79.70861,CR 9 WATTLESBURG,RT 20 RIPLEY
520305,42.2728,-79.71466,RT 20 RIPLEY,RT 5 N OF RIPLEY END RT 76
520493,42.13315,-79.74195,RT 86I OVER W/CONN,PENN STATE LN END RT 426
520504,42.18862,-79.57024,CR 18 PARK ST - SHERMAN-STED,CR 22 NETTLE HILL RD
520900,42.26955,-79.75018,RT 90I NYSTA UNDER,END AT RT 5
510005,42.53447,-78.4786,START 16/39 OLAP YORKSHRE,Catt/Erie Co Line
510006,42.04724,-78.44026,CR 29 BARNUM RD,OLEAN S CITY LINE
510022,42.09423,-78.42784,STATE  ST,ACC I-86 STE
510032,42.01986,-78.3404,PENN STATE LINE,START 305/417 OLAP
510034,42.04831,-78.35216,OLEAN CL,START 305/417 OLAP
510036,42.10182,-78.42158,ACC I-86 STE,OLEAN CL / OLEAN TL
510040,42.32965,-78.46062,START 16/98 OLAP,END 16/98 OLAP
510087,42.09946,-78.51563,RT 954T,ACC RT 86I RT 952W
511204,42.11123,-78.50387,ST RT 952 W,FIVE ML SPUR
516004,42.09217,-78.47224,ALLEGANY VL,CR83 BACK OLEAN RD
516030,42.08973,-78.50177,CR60,W UNION ST
516123,42.19334,-78.47126,ALLEGNY/HUMPHRY TL,HUMPHRY/HINSDLE TL
518002,42.10653,-78.5003,NORTH VILLAGE LINE,CR 83
518003,42.12422,-78.50098,CR 83,SMITH HOLLOW RD
518007,42.10389,-78.48439,CR 19,N 7TH ST
020028,40.6461660356,-73.971275982,OCEAN PKWY,FLATBUSH AVE
021115,40.610873282,-73.976675831,AVENUE P,BAY PKY
021120,40.6040810748,-73.997251087,NEW UTRECHT,BAY PKWY
021121,40.6209508744,-74.0252667897,4TH AVE,FT HAMILTON PKWY
021145,40.6096381032,-73.9654414361,OCEAN PKY,CONEY ISL  AVE
021154,40.6054770769,-74.0171231399,L ERICSON DR,CROPSEY AVE
021156,40.6083606842,-73.9869860981,86TH ST,67TH ST
021163,40.6862193197,-73.954376507,ATLANTIC AVE,LAFAYETTE AVE
021169,40.6866964748,-73.9133753211,VANDERVEER ST,LAFAYETTE AVE
021171,40.6961417502,-73.9302418536,DEKALB AVE,MYRTLE AVE
021172,40.6987049024,-73.9346513124,MYRTLE AVE,FLUSHING AVE
021175,40.712138249,-73.9407117352,MESEROLE ST,METROPOLTN AVE
021193,40.5813427318,-73.9858459781,NEPTUNE AVE,S INTERCHANGE
021241,40.7040163995,-73.9303762769,BUSHWICK AVE,QUEENS C/L
021261,40.7169338487,-73.9430154729,MCGUINNESS,METROPOLITN AV
021276,40.6883268722,-73.9653259979,VANDERBILT AVE,NOSTRAND AVE
021286,40.7156983381,-73.9507661177,METROPOLITN AVE,MCGUINESS BLVD
021288,40.7078390693,-73.9453966743,UNION AVE,BUSHWICK AVE
021329,40.6605755285,-73.9789213253,10TH AVE,PROSPECT PK W
021343,40.7098115207,-73.9572512266,I 278 UNDER,HAVEMEYER ST
021344,40.7078714487,-73.9519188875,UNION AVE,I 278 UNDER
021346,40.7076691298,-73.9534491542,Rodney St,UNION AVE
021347,40.5729762986,-73.9933561817,WEST 37TH ST,WEST 17TH ST
021359,40.5751304079,-74.0028228069,SURF AVE,NEPTUNE AVE
021368,40.6092658573,-74.0061454055,14TH AVE,NEW UTRECHT
021369,40.6150134708,-74.0156239091,7TH AVE,14TH AVE
021373,40.6397479363,-73.9688082946,DITMAS AVE,CHURCH AVE
021376,40.6222338138,-73.9952180445,18TH AVE,NEW UTRECHT AV
021380,40.5746534117,-73.8893284423,WEST 8TH ST,OCEAN PKWY
021404,40.7144183519,-73.9329920006,VANDERVOORT AVE,GRAND ST
021412,40.6257074557,-73.9652171402,AVENUE J,AVENUE H
022111,40.5968189274,-73.9504761274,SHEEPSHEAD BAY,AVE U
022113,40.6960529685,-73.9168569082,BROADWAY,ST NICHOLAS AV
022114,40.6886921336,-73.9678884538,ATLANTIC AVE,PARK AVE
022115,40.6363726694,-73.9471725657,NOSTRAND AVE,UTICA AVE
022117,40.7024957885,-73.9247543512,GREENE AVE,MORGAN AVE
022118,40.6611944488,-73.8888759876,WILLIAMS AVE,LINWOOD ST
022121,40.7069734646,-73.9413736366,METROPOLITN AV,FLUSHING AVE
022123,40.5815588388,-73.9465792093,EMMONS BLVD,OXFORD ST
022126,40.645087124,-73.9584485584,FLATBUSH AVE,BROOKLYN AVE
022127,40.7032015917,-73.917380304,FLUSHING AVE,MYRTLE AVE
022131,40.7258744672,-73.9424951037,BEDFORD AVE,VARICK AVE
022133,40.6869743708,-73.9631812439,FULTON ST,FRANKLIN AVE
022136,40.7308863785,-73.9577038453,N 14TH ST,COMMERCIAL ST
022141,40.6062057549,-73.9544308333,E 16TH ST,GERRITSEN AVE
022142,40.5776912375,-73.9601798627,OCEAN PKY,CORBIN PL
022148,40.6905912735,-73.9070277201,BROADWAY,IRVING AVE
022150,40.5898899131,-73.9876666858,CROPSEY AVE,STILLWELL AVE
022151,40.6966733331,-73.9933547319,ATLANTIC AVE,CADMAN PLAZA WEST
022155,40.7268499505,-73.9417928635,I 278,GREENPOINT AVE
022157,40.5860792796,-73.9743951553,NEPTUNE AVE,AVENUE X
022158,40.720301284,-73.9359646616,GRAND ST,I 278
022159,40.6921099897,-73.9632673272,VANDERBILT AVE,BEDFORD AVE
022161,40.5981211607,-73.9904498997,CROPSEY AVE,STILLWELL AVE
024051,40.6200414297,-74.0360503042,3RD AVE,SHORE RD
024107,40.7276315975,-73.936664965,VARICK ST,NORMAN AVE
024108,40.7368403265,-73.9576346028,BRIGHTN BECH A,CASS PL
024177,40.684633025,-73.8812563216,RIDGEWOOD AVE,JAMAICA AVE
024362,40.651977644,-73.8934525997,FLATLANDS AVE,STANLEY AVE
024370,40.7015144533,-73.9855286966,FRONT ST,NAVY ST
026001,40.7326291603,-73.942317101,HUMBOLDT ST,QUEENS CO LINE
026005,40.584143651,-73.982684208,NEPTUNE AVE,86TH ST
026027,40.6369091671,-74.0193584851,6TH AVE,ACC I-278/4TH AVE
026064,40.660689321,-73.9623817546,OCEAN AVE,FLATBUSH AVE
